1,1223541953.927963000,0x00008bfd,192.168.110.131,2074,192.168.110.138,502
2,1223541953.929098000,0x00003bda,192.168.110.138,502,192.168.110.131,2074
3,1223541953.929171000,0x00008bfe,192.168.110.131,2074,192.168.110.138,502
4,1223541953.930003000,0x00003bdb,192.168.110.138,502,192.168.110.131,2074
5,1223541954.942774000,0x00008c00,192.168.110.131,2074,192.168.110.138,502
6,1223541954.944214000,0x00003bf8,192.168.110.138,502,192.168.110.131,2074
7,1223541954.944313000,0x00008c01,192.168.110.131,2074,192.168.110.138,502
8,1223541954.945105000,0x00003bf9,192.168.110.138,502,192.168.110.131,2074
9,1223541955.930829000,0x00008c04,192.168.110.131,2074,192.168.110.138,502
10,1223541955.931978000,0x00003c17,192.168.110.138,502,192.168.110.131,2074
11,1223541955.932046000,0x00008c05,192.168.110.131,2074,192.168.110.138,502
12,1223541955.932878000,0x00003c18,192.168.110.138,502,192.168.110.131,2074
13,1223541956.932270000,0x00008c07,192.168.110.131,2074,192.168.110.138,502
14,1223541956.933391000,0x00003c34,192.168.110.138,502,192.168.110.131,2074
15,1223541956.933457000,0x00008c08,192.168.110.131,2074,192.168.110.138,502
16,1223541956.934296000,0x00003c35,192.168.110.138,502,192.168.110.131,2074
17,1223541957.933687000,0x00008c0a,192.168.110.131,2074,192.168.110.138,502
18,1223541957.934854000,0x00003c52,192.168.110.138,502,192.168.110.131,2074
19,1223541957.934919000,0x00008c0b,192.168.110.131,2074,192.168.110.138,502
20,1223541957.935765000,0x00003c53,192.168.110.138,502,192.168.110.131,2074
21,1223541958.935141000,0x00008c0d,192.168.110.131,2074,192.168.110.138,502
22,1223541958.936374000,0x00003c75,192.168.110.138,502,192.168.110.131,2074
23,1223541958.936786000,0x00008c0e,192.168.110.131,2074,192.168.110.138,502
24,1223541958.937289000,0x00003c76,192.168.110.138,502,192.168.110.131,2074
25,1223541959.936631000,0x00008c10,192.168.110.131,2074,192.168.110.138,502
26,1223541959.937736000,0x00003c92,192.168.110.138,502,192.168.110.131,2074
27,1223541959.937804000,0x00008c11,192.168.110.131,2074,192.168.110.138,502
28,1223541959.938571000,0x00003c93,192.168.110.138,502,192.168.110.131,2074
29,1223541960.938046000,0x00008c13,192.168.110.131,2074,192.168.110.138,502
30,1223541960.939216000,0x00003cb0,192.168.110.138,502,192.168.110.131,2074
31,1223541960.939284000,0x00008c14,192.168.110.131,2074,192.168.110.138,502
32,1223541960.940128000,0x00003cb1,192.168.110.138,502,192.168.110.131,2074
33,1223541961.939494000,0x00008c1a,192.168.110.131,2074,192.168.110.138,502
34,1223541961.940123000,0x00003cce,192.168.110.138,502,192.168.110.131,2074
35,1223541961.940187000,0x00008c1b,192.168.110.131,2074,192.168.110.138,502
36,1223541961.941488000,0x00003ccf,192.168.110.138,502,192.168.110.131,2074
37,1223541962.940903000,0x00008c1d,192.168.110.131,2074,192.168.110.138,502
38,1223541962.942007000,0x00003cec,192.168.110.138,502,192.168.110.131,2074
39,1223541962.942073000,0x00008c1e,192.168.110.131,2074,192.168.110.138,502
40,1223541962.942844000,0x00003ced,192.168.110.138,502,192.168.110.131,2074
41,1223541963.942346000,0x00008c77,192.168.110.131,2074,192.168.110.138,502
42,1223541963.943480000,0x00003d0a,192.168.110.138,502,192.168.110.131,2074
43,1223541963.943548000,0x00008c78,192.168.110.131,2074,192.168.110.138,502
44,1223541963.944328000,0x00003d0b,192.168.110.138,502,192.168.110.131,2074
45,1223541964.943788000,0x00008c7a,192.168.110.131,2074,192.168.110.138,502
46,1223541964.944889000,0x00003d27,192.168.110.138,502,192.168.110.131,2074
47,1223541964.944955000,0x00008c7b,192.168.110.131,2074,192.168.110.138,502
48,1223541964.945725000,0x00003d28,192.168.110.138,502,192.168.110.131,2074
